(1, 993561.88299999468)
(2, 903113.74999999639)
(3, 248032.73000000932)
(4, 179972.37499999607)
(5, 156740.78499999858)
(7, 55642.642000000116)
(6, 43537.838000000476)
(10, 30250.413000000044)
(9, 29375.819999999869)
(14, 24163.732000000015)
(15, 19111.268000000025)
(19, 17656.016000000003)
(8, 17309.256999999994)
(16, 16525.730999999992)
(17, 15550.618000000004)
(18, 15373.47100000001)
(11, 14928.347999999987)
(12, 14056.916000000016)
(13, 12930.607000000004)
(20, 10296.064000000015)
(21, 9693.598)

==============================  yion

(2, 993561.88299999468)
(1, 903113.74999999639)
(9, 248032.73000000932)
(7, 45068.826000000008)
(18, 43537.838000000476)
(3, 29375.819999999869)
(8, 23100.483999999953)
(6, 15373.47100000001)
(4, 11808.522000000006)
(5, 8168.488000000003)
(15, 6582.1219999999976)
(14, 6317.3800000000019)
(21, 6239.9539999999979)
(13, 5834.4439999999995)
(12, 5649.7830000000013)
(10, 5605.5729999999994)
(17, 5438.646999999999)
(19, 4249.7299999999996)
(11, 4175.1610000000001)
(20, 4048.3639999999996)
(16, 4041.4369999999999)
